time,counts
30.8105,0
30.8594,3
30.9082,1
30.9570,1
31.0059,2
31.0547,2
31.1035,2
31.1523,3
31.2012,0
31.2500,6
31.2988,0
31.3477,4
31.3965,3
31.4453,0
31.4941,2
31.5430,5
31.5918,0
31.6406,0
31.6895,1
31.7383,2
31.7871,3
31.8359,1
31.8848,1
31.9336,4
31.9824,2
32.0313,4
32.0801,0
32.1289,3
32.1777,1
32.2266,2
32.2754,2
32.3242,1
32.3730,0
32.4219,4
32.4707,4
32.5195,1
32.5684,1
32.6172,1
32.6660,1
32.7148,0
32.7637,2
32.8125,2
32.8613,6
32.9102,2
32.9590,3
33.0078,1
33.0566,2
33.1055,3
33.1543,3
33.2031,0
33.2520,0
33.3008,3
33.3496,3
33.3984,0
33.4473,1
33.4961,4
33.5449,0
33.5938,3
33.6426,5
33.6914,2
33.7402,2
33.7891,1
33.8379,4
33.8867,3
33.9355,4
33.9844,1
34.0332,1
34.0820,0
34.1309,3
34.1797,1
34.2285,3
34.2773,3
34.3262,2
34.3750,1
34.4238,0
34.4727,1
34.5215,2
34.5703,1
34.6191,2
34.6680,2
34.7168,2
34.7656,0
34.8145,1
34.8633,3
34.9121,2
34.9609,0
35.0098,2
35.0586,1
35.1074,1
35.1563,0
35.2051,1
35.2539,0
35.3027,2
35.3516,0
35.4004,1
35.4492,0
35.4980,2
35.5469,2
35.5957,2
35.6445,1
35.6934,1
35.7422,1
35.7910,2
35.8398,3
35.8887,3
35.9375,2
35.9863,1
36.0352,1
36.0840,1
36.1328,3
36.1816,1
36.2305,0
36.2793,2
36.3281,0
36.3770,2
36.4258,1
36.4746,0
36.5234,1
36.5723,2
36.6211,1
36.6699,6
36.7188,0
36.7676,1
36.8164,2
36.8652,1
36.9141,3
36.9629,1
37.0117,0
37.0605,2
37.1094,4
37.1582,0
37.2070,0
37.2559,0
37.3047,2
37.3535,2
37.4023,1
37.4512,2
37.5000,0
37.5488,0
37.5977,2
37.6465,1
37.6953,2
37.7441,2
37.7930,1
37.8418,3
37.8906,2
37.9395,2
37.9883,1
38.0371,0
38.0859,0
38.1348,2
38.1836,1
38.2324,4
38.2813,1
38.3301,2
38.3789,2
38.4277,0
38.4766,3
38.5254,1
38.5742,2
38.6230,1
38.6719,3
38.7207,2
38.7695,0
38.8184,3
38.8672,2
38.9160,2
38.9648,2
39.0137,0
39.0625,3
39.1113,0
39.1602,3
39.2090,5
39.2578,8
39.3066,3
39.3555,1
39.4043,3
39.4531,2
39.5020,0
39.5508,5
39.5996,3
39.6484,2
39.6973,3
39.7461,1
39.7949,6
39.8438,3
39.8926,1
39.9414,0
39.9902,1
40.0391,2
40.0879,2
40.1367,0
40.1855,1
40.2344,1
40.2832,2
40.3320,1
40.3809,3
40.4297,2
40.4785,3
40.5273,0
40.5762,0
40.6250,1
40.6738,0
40.7227,2
40.7715,0
40.8203,0
40.8691,1
40.9180,0
40.9668,2
41.0156,2
41.0645,0
41.1133,1
41.1621,1
41.2109,3
41.2598,3
41.3086,0
41.3574,1
41.4063,3
41.4551,0
41.5039,0
41.5527,1
41.6016,0
41.6504,2
41.6992,2
41.7480,1
41.7969,1
41.8457,3
41.8945,0
41.9434,3
41.9922,0
42.0410,0
42.0898,2
42.1387,0
42.1875,1
42.2363,1
42.2852,3
42.3340,2
42.3828,2
42.4316,3
42.4805,2
42.5293,3
42.5781,0
42.6270,3
42.6758,0
42.7246,1
42.7734,3
42.8223,3
42.8711,1
42.9199,2
42.9688,1
43.0176,1
43.0664,2
43.1152,3
43.1641,0
43.2129,2
43.2617,7
43.3105,1
43.3594,0
43.4082,1
43.4570,2
43.5059,2
43.5547,3
43.6035,1
43.6523,0
43.7012,2
43.7500,3
43.7988,2
43.8477,2
43.8965,4
43.9453,3
43.9941,0
44.0430,0
44.0918,0
44.1406,2
44.1895,2
44.2383,1
44.2871,4
44.3359,0
44.3848,2
44.4336,1
44.4824,2
44.5313,2
44.5801,0
44.6289,2
44.6777,1
44.7266,3
44.7754,1
44.8242,3
44.8730,0
44.9219,2
44.9707,1
45.0195,1
45.0684,0
45.1172,1
45.1660,1
45.2148,1
45.2637,2
45.3125,4
45.3613,2
45.4102,1
45.4590,5
45.5078,2
45.5566,3
45.6055,3
45.6543,1
45.7031,1
45.7520,2
45.8008,1
45.8496,2
45.8984,0
45.9473,1
45.9961,1
46.0449,6
46.0938,2
46.1426,0
46.1914,0
46.2402,6
46.2891,0
46.3379,2
46.3867,2
46.4355,1
46.4844,2
46.5332,1
46.5820,1
46.6309,1
46.6797,3
46.7285,1
46.7773,1
46.8262,1
46.8750,1
46.9238,2
46.9727,4
47.0215,1
47.0703,1
47.1191,3
47.1680,2
47.2168,0
47.2656,1
47.3145,2
47.3633,2
47.4121,2
47.4609,2
47.5098,3
47.5586,2
47.6074,3
47.6563,1
47.7051,1
47.7539,0
47.8027,1
47.8516,1
47.9004,2
47.9492,4
47.9980,3
48.0469,3
48.0957,2
48.1445,4
48.1934,0
48.2422,2
48.2910,5
